Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Country
spotify:track:4NaaF28BeO9WzjDrSS71Nz,ダンスホール,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,spotify:album:3OyEc77lPQ8QOWMIWvZl08,ダンスホール,spotify:artist:4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,5/23/2022,https://i.scdn.co/image/ab67616d0000b273e552c9dbdf76676de1032ae0,1,1,203149,https://p.scdn.co/mp3-preview/dcaa545e13bb156076c0ec71833125061b37fd3f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,JPPO02201800,spotify:user:,2023-04-06T09:41:34Z,0.736,0.695,7,-3.87,1,0.0468,0.0209,0,0.0517,0.784,109.976,4,JP
spotify:track:2Dzzhb1oV5ckgOjWZLraIB,Overdose,spotify:artist:6WmXWHmfBMhupyIs8MSqtu,natori,spotify:album:1ieXthJ9zXRWqTU8ROAeJa,Overdose,spotify:artist:6WmXWHmfBMhupyIs8MSqtu,natori,9/7/2022,https://i.scdn.co/image/ab67616d0000b273d29582617459e5bb81bd90a6,1,1,197093,https://p.scdn.co/mp3-preview/aba42c9d80b1af30f96f21290fe6ab022a7d5566?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,JPU902203154,spotify:user:,2023-04-06T09:41:34Z,0.733,0.598,4,-9.453,0,0.0377,0.0307,0.000017,0.218,0.831,118.012,4,JP
spotify:track:6zjk7Qbwb9DZ4ykUUoqknh,第ゼロ感,spotify:artist:0QZqdhoRQkn1VphAa5eX8h,10-FEET,spotify:album:2WaRUGRx1I5uRs0hrMEFYk,コリンズ,spotify:artist:0QZqdhoRQkn1VphAa5eX8h,10-FEET,12/14/2022,https://i.scdn.co/image/ab67616d0000b273a8f69ba9f78e59382eec9af9,1,2,286000,https://p.scdn.co/mp3-preview/8add346dcaa9fc9b2672cfe3a72f018717eaf588?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,JPPO02203957,spotify:user:,2023-04-06T09:41:34Z,0.445,0.94,7,-4.16,1,0.175,0.0000277,0.0000134,0.32,0.349,150.082,4,JP
spotify:track:1Vqs0lXeJafYZz2sxnfB3V,シンデレラボーイ,spotify:artist:4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,spotify:album:39EU8gQm5E0vUDj9AvKUgr,レイジーサンデー,spotify:artist:4WqXqPmUuenMIr4QaFrZXN,Saucy Dog,8/25/2021,https://i.scdn.co/image/ab67616d0000b27381b5fbf6470347967b819fe3,1,2,234323,https://p.scdn.co/mp3-preview/34cf86f5a6f65900f2c456a57c41fad12aadff36?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,JPJ222101667,spotify:user:,2023-04-06T09:41:34Z,0.596,0.735,9,-6.362,1,0.0332,0.0748,0,0.269,0.524,108.106,4,JP
spotify:track:3khEEPRyBeOUabbmOPJzAG,KICK BACK,spotify:artist:1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,spotify:album:6RH1fEIz8HVXregzz5Xp2B,KICK BACK,spotify:artist:1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,10/12/2022,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,1,1,193495,https://p.scdn.co/mp3-preview/003a7a062f469db238cf5206626f08f3263c68e6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,84,JPU902203702,spotify:user:,2023-04-06T09:41:34Z,0.577,0.941,1,-5.17,1,0.105,0.00207,0.00000336,0.0891,0.292,101.921,4,JP
spotify:track:3r8RuvgbX9s7ammBn07D3W,Ditto,spotify:artist:6HvZYsbFfjnjFrWF950C9d,NewJeans,spotify:album:7bnqo1fdJU9nSfXQd3bSMe,Ditto,spotify:artist:6HvZYsbFfjnjFrWF950C9d,NewJeans,12/19/2022,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,1,1,185506,https://p.scdn.co/mp3-preview/4f048713ddfa434539dec7c3cb689f3393353edd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,91,USA2P2254487,spotify:user:,2023-04-06T09:41:34Z,0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4,JP
spotify:track:7M0dIdZWN1FDcveRdoOzbZ,ビリミリオン,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,Yuuri,spotify:album:6ClMd4vNeZ6cmrRNmOqAoY,弐,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,Yuuri,3/29/2023,https://i.scdn.co/image/ab67616d0000b273188327ac9022d86ad2dd6483,1,1,228760,https://p.scdn.co/mp3-preview/55fc0a2382308946adf6bf8e4ddef80d4765744b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,60,JPU902204939,spotify:user:,2023-04-06T09:41:34Z,0.364,0.628,10,-6.142,1,0.0319,0.238,0,0.0931,0.612,93.792,3,JP
spotify:track:4JK1kDUdH9RTBQrrSO1QfR,ベテルギウス,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,Yuuri,spotify:album:1YWoHzj5wHnG7m6gLlwBQd,壱,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,Yuuri,1/12/2022,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,1,1,230600,https://p.scdn.co/mp3-preview/38eba23ec8120c13df9382ca2a11ff7a2789f483?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,JPU902104201,spotify:user:,2023-04-06T09:41:34Z,0.367,0.671,5,-4.604,1,0.0478,0.222,0,0.494,0.691,179.833,4,JP
spotify:track:0o3zVVGJkb1QIOMF9xySiu,名前は片想い,spotify:artist:26ZBeXl5Gqr3TAv2itmyCU,indigo la End,spotify:album:6S12v6NjkFLwQwLxxavHY9,名前は片想い,spotify:artist:26ZBeXl5Gqr3TAv2itmyCU,indigo la End,1/25/2023,https://i.scdn.co/image/ab67616d0000b273251cc864dd23a485249269ad,1,1,213793,https://p.scdn.co/mp3-preview/58769cb6f2608017edc435e24a1cd155275ec354?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,JPWP02202392,spotify:user:,2023-04-06T09:41:34Z,0.71,0.873,9,-3.579,1,0.0391,0.0906,0.0000206,0.122,0.837,121.983,4,JP
spotify:track:0NUJhYxwcAAB4UQULseQyX,リンジュー・ラヴ,spotify:artist:1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,spotify:album:0jH2GxrReBs2SqeVSaM5vU,リンジュー・ラヴ,spotify:artist:1t17z3vfuc82cxSDMrvryJ,Macaroni Empitsu,1/14/2023,https://i.scdn.co/image/ab67616d0000b273cec8cc1143813c9c241edbe2,1,1,185945,https://p.scdn.co/mp3-preview/b1b144f03e073e40effdab1591faae18e535ce4a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,JPTF02232501,spotify:user:,2023-04-06T09:41:34Z,0.666,0.763,11,-5.96,1,0.0281,0.246,0,0.0879,0.663,103.01,4,JP
